category_id,category_name,subcategory_id,subcategory_name,article_count
7,วัสดุปิดผิวผนัง,7,อลูมิเนียมคอมโพสิท,7
12,รั้ว ระแนง วัสดุตกแต่งอาคาร,364,ฟาซาด,7
17,งานระบบประปา,154,ท่อประปา,7
23,บันได ลิฟท์,75,ลิฟท์,7
1,เฟอร์นิเจอร์,335,ม้านั่ง,6
4,"โคมไฟ, หลอดไฟ",260,โคมไฟผนัง,6
5,สวน และภายนอกอาคาร,212,อุปกรณ์กีฬากลางแจ้ง,6
10,วัสดุแผ่น,37,ซีเมนต์ บอร์ด,6
15,โครงสร้าง,68,อลูมิเนียม,6
2,ของแต่งบ้าน,382,ป้าย,5
6,วัสดุปูพื้น,205,จมูกบันได,5
7,วัสดุปิดผิวผนัง,175,ผนังกระเบื้อง,5
7,วัสดุปิดผิวผนัง,233,สแตนเลสปิดผิว,5
8,วัสดุฝ้าเพดาน,188,ลามิเนต,5
11,ประตู-หน้าต่าง,387,กลอนประตู,5
13,หลังคา,366,กระเบื้องหลังคา,5
14,ห้องน้ำ,349,อ่างล้างหน้า,5
24,อื่นๆ,,,5
1,เฟอร์นิเจอร์,103,ชั้นวางของ,4
1,เฟอร์นิเจอร์,330,ตู้เก็บของ,4
2,ของแต่งบ้าน,340,"โมบาย, ที่แขวน",4
2,ของแต่งบ้าน,390,กล่องใส่ของ,4
4,"โคมไฟ, หลอดไฟ",261,โคมไฟตั้งโต๊ะ,4
6,วัสดุปูพื้น,174,หญ้าเทียม,4
6,วัสดุปูพื้น,402,เส้นแบ่งแนว,4
7,วัสดุปิดผิวผนัง,397,ฉากเก็บมุม,4
8,วัสดุฝ้าเพดาน,8,ยิปซั่มบอร์ด,4
10,วัสดุแผ่น,88,ไม้เอ็มดีเอฟ,4
11,ประตู-หน้าต่าง,356,วงกบ,4
13,หลังคา,307,อื่นๆ,4
15,โครงสร้าง,309,อุปกรณ์โครงสร้างอื่นๆ,4
17,งานระบบประปา,17,วาล์วน้ำ,4
23,บันได ลิฟท์,,,4
2,ของแต่งบ้าน,29,"กระจกเงา , กรอบกระจกเงา",3
2,ของแต่งบ้าน,273,นาฬิกา,3
3,"ผ้าบุ, ผ้าม่าน, เครื่องนอน",105,"หนังเทียม , หนังแท้ , กำมะหยี่",3
3,"ผ้าบุ, ผ้าม่าน, เครื่องนอน",345,ชุดเครื่องนอน,3
4,"โคมไฟ, หลอดไฟ",4,หลอดไฟ,3
5,สวน และภายนอกอาคาร,58,ศาลา,3
6,วัสดุปูพื้น,213,บัวพื้น,3
8,วัสดุฝ้าเพดาน,61,สมาร์ทบอร์ด,3
